city,lat,lon,precip,class,population,damage
Tuticorin,8.805038,78.151884,2.04,0,0,0.0
Kurnool,15.828865,78.036021,0.07,0,460184,3.22
Gaya,24.796858,85.003852,0.0,0,423692,0.0
Sikar,27.614778,75.138671,0.02,0,199932,0.4
Tumkur,13.341358,77.102203,0.18000000000000002,0,307359,5.53
Kollam,8.881131,76.584694,3.2899999999999996,0,367107,120.78
Ahmadnagar,19.094571,74.738432,1.4700000000000002,0,367140,53.97
Bhilwara,25.347071,74.640812,0.07,0,326431,2.29
Nizamabad,18.673151,78.10008,0.9400000000000001,0,305438,28.71
Parbhani,19.268553,76.770807,1.5799999999999998,0,289629,45.76
Shillong,25.573987,91.896807,0.19,0,132842,2.52
Latur,18.399487,76.584252,1.2999999999999998,0,348967,45.37
Rajapalaiyam,9.451111,77.556121,4.81,0,124168,59.72
Bhagalpur,25.244462,86.971832,0.0,0,361548,0.0
Muzaffarnagar,29.470914,77.703324,0.0,0,349706,0.0
Muzaffarpur,26.122593,85.390553,0.0,0,333200,0.0
Mathura,27.503501,77.672145,0.0,0,330511,0.0
Patiala,30.336245,76.392199,0.0,0,329224,0.0
Saugor,23.838766,78.738738,0.0,0,247333,0.0
Brahmapur,19.311514,84.792903,0.0,0,324726,0.0
Shahbazpur,27.874116,79.879327,0.0,0,38000,0.0
New Delhi,28.6,77.2,0.0,0,317797,0.0
Rohtak,28.894473,76.589166,0.0,0,317245,0.0
Samlaipadar,21.478072,83.990505,0.0,0,0,0.0
Ratlam,23.330331,75.040315,0.61,0,236843,14.45
Firozabad,27.150917,78.397808,0.0,0,306409,0.0
Rajahmundry,17.005171,81.777839,0.0,0,376333,0.0
Barddhaman,23.255716,87.856906,0.0,0,301725,0.0
Bidar,17.913309,77.530105,1.1700000000000002,0,204071,23.88
Bamanpuri,28.804495,79.040305,0.0,0,0,0.0
Kakinada,16.960361,82.238086,0.01,0,292923,0.29
Panipat,29.387471,76.968246,0.0,0,292808,0.0
Khammam,17.247672,80.143682,0.27,0,170503,4.6
Bhuj,23.253972,69.669281,0.13,0,133459,1.73
Karimnagar,18.436738,79.13222,0.62,0,228745,14.18
Tirupati,13.635505,79.419888,0.6300000000000001,0,250821,15.8
Hospet,15.269537,76.387103,0.15000000000000002,0,197846,2.97
Chikka Mandya,12.545602,76.895078,0.2,0,0,0.0
Alwar,27.566291,76.610202,0.0,0,283228,0.0
